,date,open,close,high,low,volume,code
201,2017-11-01,11.56,11.4,11.59,11.32,692617.0,000001
202,2017-11-02,11.36,11.54,11.58,11.26,604308.0,000001
203,2017-11-03,11.49,11.39,11.68,11.35,743343.0,000001
204,2017-11-06,11.42,11.28,11.42,11.09,1029902.0,000001
205,2017-11-07,11.27,11.92,12.09,11.25,2477163.0,000001
206,2017-11-08,12.0,12.13,12.59,11.93,4262825.0,000001
207,2017-11-09,12.2,12.33,12.57,12.15,2295289.0,000001
208,2017-11-10,12.37,12.3,12.55,12.15,1757552.0,000001
209,2017-11-13,12.35,12.9,13.1,12.35,2566906.0,000001
210,2017-11-14,12.95,12.95,13.26,12.81,1780302.0,000001
211,2017-11-15,12.9,12.9,13.13,12.77,1263052.0,000001
212,2017-11-16,12.9,13.1,13.12,12.67,1200814.0,000001
213,2017-11-17,13.17,13.18,13.46,13.03,2064149.0,000001
214,2017-11-20,13.13,14.25,14.25,13.05,2843925.0,000001
215,2017-11-21,14.07,14.45,14.79,14.01,2495327.0,000001
216,2017-11-22,14.48,15.1,15.24,14.48,2570231.0,000001
217,2017-11-23,15.15,14.35,15.24,14.07,2429142.0,000001
218,2017-11-24,14.29,14.56,14.59,13.78,2630189.0,000001
219,2017-11-27,14.3,13.93,14.3,13.75,2064085.0,000001
220,2017-11-28,13.85,13.7,13.85,13.4,1766432.0,000001
221,2017-11-29,13.73,13.82,13.93,13.47,1564094.0,000001
222,2017-11-30,13.7,13.38,13.73,13.26,1379635.0,000001
223,2017-12-01,13.4,13.0,13.48,12.96,1784933.0,000001
224,2017-12-04,13.05,13.3,13.37,13.0,1454023.0,000001
225,2017-12-05,13.15,13.3,13.49,13.1,1723681.0,000001
226,2017-12-06,13.26,13.08,13.27,12.79,1619844.0,000001
227,2017-12-07,13.05,12.83,13.14,12.75,1181957.0,000001
228,2017-12-08,12.89,13.09,13.09,12.75,1351315.0,000001
229,2017-12-11,13.08,13.5,13.57,12.88,2261952.0,000001
230,2017-12-12,13.4,13.02,13.48,13.02,1743405.0,000001
231,2017-12-13,13.0,13.13,13.2,12.88,1289248.0,000001
232,2017-12-14,13.15,13.0,13.31,12.91,1001997.0,000001
233,2017-12-15,12.9,12.72,12.93,12.67,1099952.0,000001
234,2017-12-18,12.73,12.75,12.91,12.64,805464.0,000001
235,2017-12-19,12.79,13.28,13.32,12.74,2397942.0,000001
236,2017-12-20,13.2,13.26,13.31,13.13,1106245.0,000001
